Generation,Initial_Min,Peak_Min,Boundary_Min,Data_Min,PDE_Min,Combined
0,0.08335772790538751,2.582875642232353e-07,0.0,0.03626293773304152,0.0,0.17153990581937734
10,0.04427483338289462,7.298409463147481e-09,0.0,0.020401633839488807,0.0,0.07117753529367689
20,0.038672976210872685,7.298409463147481e-09,0.0,0.017573125803807932,0.0,0.07117753529367689
30,0.0360882475852944,2.2307279313681933e-10,0.0,0.017573125803807932,0.0,0.07117753529367689
40,0.0360882475852944,2.2307279313681933e-10,0.0,0.017521559739714837,0.0,0.06976948088631148
50,0.0360882475852944,2.2307279313681933e-10,0.0,0.017521559739714837,0.0,0.06976948088631148
60,0.0360882475852944,2.2307279313681933e-10,0.0,0.017251996278894503,0.0,0.06976948088631148
70,0.0360882475852944,2.2307279313681933e-10,0.0,0.01643048706077371,0.0,0.06976948088631148
80,0.0360882475852944,2.2307279313681933e-10,0.0,0.01643048706077371,0.0,0.06662002875664312
90,0.0360882475852944,2.2307279313681933e-10,0.0,0.01643048706077371,0.0,0.06662002875664312
