cpu_pct,elapsed_sec,epoch,gpu_max_memory_mb,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_temp_c,gpu_util_pct,ram_pct,ram_used_gb,throughput_epochs_per_sec
3.0,166.81486058235168,200,25638.532096,12450.049536,49530.535936,32.0,12.0,56.2,75.426443264,1.1989339516983006
1.5,332.57897877693176,400,25638.532096,12450.049536,95533.662208,33.0,13.0,56.2,75.47070464,1.2027218360914176
3.5,498.8695695400238,600,25638.532096,12450.049536,61031.317504,33.0,12.0,56.1,75.340177408,1.2027191807935333
2.0,665.2794463634491,800,25638.532096,12450.049536,26528.9728,33.0,13.0,56.0,75.221377024,1.2025022032064276
3.0,882.630866765976,1000,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.57660672,1.1329764657609054
3.9,1150.9127192497253,1200,25638.532096,940.015104,95655.297024,34.0,12.0,56.2,75.472912384,1.0426507413892119
1.5,1419.6009118556976,1400,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.542192128,0.9861926604216706
3.0,1690.7216794490814,1600,25638.532096,940.015104,95655.297024,34.0,13.0,56.4,75.77884672,0.9463414466426887
5.0,1968.8252766132355,1800,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.589369856,0.9142507572314147
10.5,2249.168037891388,2000,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.611275264,0.8892176868541202
4.5,2529.398369550705,2200,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.639676928,0.8697720479636366
10.9,2810.1195130348206,2400,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.626893312,0.8540562025449561
6.0,3091.1003255844116,2600,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.645333504,0.8411244301843995
6.4,3371.9734604358673,2800,25638.532096,940.015104,95655.297024,34.0,12.0,56.3,75.654443008,0.8303742698016571
2.5,3652.7708780765533,3000,25638.532096,940.015104,95655.297024,34.0,12.0,56.4,75.66739456,0.8212943270013464
