Epoch,Loss_initial,Weight_initial,Loss_peak,Weight_peak,Loss_boundary,Weight_boundary,Loss_pde,Weight_pde,Loss_nonneg,Weight_nonneg,Learning_Rate
1,0.0022062284406274557,1.0,0.001562936813570559,1.0,2.295088847859006e-07,0.0,15.752020835876465,1.0,0.0007585249841213226,0.1,0.0009999901402976406
2,0.001978917047381401,1.0,0.0008242654148489237,1.0,2.294485170750704e-07,0.0,12.098106384277344,1.0,0.0007887640967965126,0.1,0.0009999605615798061
3,0.002022136701270938,1.0,0.004464904777705669,1.0,2.2948941591494076e-07,0.0,16.630863189697266,1.0,0.000807155214715749,0.1,0.0009999112650142142
4,0.002169276587665081,1.0,0.0022705779410898685,1.0,2.3009386040939717e-07,0.0,13.767518997192383,1.0,0.000986009370535612,0.1,0.0009998422525470084
5,0.0019907187670469284,1.0,0.0006755611975677311,1.0,2.2957971168580116e-07,0.0,17.490039825439453,1.0,0.0009223319939337671,0.1,0.0009997535269026829
6,0.0020527453161776066,1.0,0.001676967483945191,1.0,2.2957739531648258e-07,0.0,21.315488815307617,1.0,0.0008691007387824357,0.1,0.0009996450915839743
7,0.0019045865628868341,1.0,0.0031818647403270006,1.0,2.2935563492865185e-07,0.0,17.874788284301758,1.0,0.0009233673918060958,0.1,0.0009995169508717234
8,0.0017758265603333712,1.0,0.0019405731000006199,1.0,2.2941193833503348e-07,0.0,25.60884666442871,1.0,0.0006630735006183386,0.1,0.0009993691098247057
9,0.0019423295743763447,1.0,0.0008417348144575953,1.0,2.2916523789717758e-07,0.0,14.025217056274414,1.0,0.0005076500819995999,0.1,0.0009992015742794332
10,0.0018866999307647347,1.0,0.001788701512850821,1.0,2.289380915954098e-07,0.0,15.564386367797852,1.0,0.00038457446498796344,0.1,0.0009990143508499217
11,0.0015869075432419777,1.0,0.0038147626910358667,1.0,2.2981723191151104e-07,0.0,15.43419075012207,1.0,0.00037837954005226493,0.1,0.000998807446927432
12,0.0013704613083973527,1.0,0.001530225737951696,1.0,2.292111673796171e-07,0.0,7.674910068511963,1.0,0.0004979570512659848,0.1,0.0009985808706801766
13,0.0017918667290359735,1.0,0.0037579466588795185,1.0,2.3011386929283617e-07,0.0,10.150135040283203,1.0,0.0006024397443979979,0.1,0.0009983346310529979
14,0.0014672098914161325,1.0,0.0024072076193988323,1.0,2.2963597245961864e-07,0.0,9.311610221862793,1.0,0.0005543926963582635,0.1,0.0009980687377670148
15,0.001128579955548048,1.0,0.0006438353448174894,1.0,2.2951203959564737e-07,0.0,5.631751537322998,1.0,0.0002830356534104794,0.1,0.0009977832013192385
16,0.0014508944004774094,1.0,0.005571144167333841,1.0,2.2998632687176723e-07,0.0,6.7647552490234375,1.0,0.00019485826487652957,0.1,0.0009974780329821595
17,0.0012260247021913528,1.0,0.002620767569169402,1.0,2.2966281676417566e-07,0.0,6.718050479888916,1.0,0.00018071147496812046,0.1,0.000997153244803301
18,0.0010237607639282942,1.0,0.0006532315164804459,1.0,2.291780702989854e-07,0.0,5.660919666290283,1.0,0.00033601117320358753,0.1,0.0009968088496047443
19,0.0015276490012183785,1.0,0.002758384682238102,1.0,2.2930957754851988e-07,0.0,5.108791828155518,1.0,0.00045051416964270175,0.1,0.000996444860982622
20,0.0014167040353640914,1.0,0.0032628539483994246,1.0,2.2913388875167584e-07,0.0,4.636292457580566,1.0,0.00043347940663807094,0.1,0.0009960612933065818
21,0.0008563973242416978,1.0,0.0008584415772929788,1.0,2.2947835986997234e-07,0.0,4.404776573181152,1.0,0.0002255911531392485,0.1,0.0009956581617192185
22,0.0009386122110299766,1.0,0.0006193412700667977,1.0,2.3006306548722932e-07,0.0,3.706265687942505,1.0,0.00016024254728108644,0.1,0.0009952354821354773
23,0.0009169155964627862,1.0,0.0015497655840590596,1.0,2.2874905880598817e-07,0.0,3.8500046730041504,1.0,0.00010930113785434514,0.1,0.0009947932712420242
24,0.0008374203462153673,1.0,0.0009835606906563044,1.0,2.3019225636744522e-07,0.0,3.0711944103240967,1.0,0.00012021039583487436,0.1,0.000994331546496588
25,0.0007272784132510424,1.0,0.0012659091735258698,1.0,2.2959623890983494e-07,0.0,4.458740711212158,1.0,0.00014778088370803744,0.1,0.0009938503261272714
26,0.0010863605421036482,1.0,0.0005472498014569283,1.0,2.2923804010588356e-07,0.0,2.8950982093811035,1.0,0.00026472011813893914,0.1,0.00099334962913183
27,0.0012467424385249615,1.0,0.002709966152906418,1.0,2.3033950924400415e-07,0.0,3.695439100265503,1.0,0.00029491918394342065,0.1,0.0009928294752769246
28,0.0008086725138127804,1.0,0.0004977707285434008,1.0,2.2936583832233737e-07,0.0,2.9956679344177246,1.0,0.00016682334535289556,0.1,0.0009922898850973382
29,0.0006575563456863165,1.0,0.0007285177707672119,1.0,2.290313005914868e-07,0.0,2.804798126220703,1.0,7.454339356627315e-05,0.1,0.0009917308798951673
30,0.000825463910587132,1.0,0.0005402116803452373,1.0,2.2993876314103545e-07,0.0,2.356790542602539,1.0,3.73018738173414e-05,0.1,0.00099115248173898
31,0.0009469256037846208,1.0,0.0008030558819882572,1.0,2.3004520244285231e-07,0.0,2.6661441326141357,1.0,2.5679197278805077e-05,0.1,0.0009905547134629452
32,0.0007639845134690404,1.0,0.0016503322403877974,1.0,2.289015412770823e-07,0.0,2.228978157043457,1.0,2.8331738576525822e-05,0.1,0.0009899375986659313
33,0.0005461440305225551,1.0,0.0011669108644127846,1.0,2.2920148978755606e-07,0.0,2.0197501182556152,1.0,6.01289575570263e-05,0.1,0.0009893011617105733
34,0.0005963792791590095,1.0,0.0007330724620260298,1.0,2.2961380352626293e-07,0.0,2.0071091651916504,1.0,0.00010062757064588368,0.1,0.0009886454277223127
35,0.000691033317707479,1.0,0.00245191459544003,1.0,2.2957233625220397e-07,0.0,2.2262675762176514,1.0,0.00012017177505185828,0.1,0.0009879704225884043
36,0.0005365912802517414,1.0,0.0011349398409947753,1.0,2.2916972852726758e-07,0.0,1.878754734992981,1.0,7.503604865632951e-05,0.1,0.0009872761729568954
37,0.00046424384345300496,1.0,0.000547353585716337,1.0,2.2945687305764295e-07,0.0,2.2003068923950195,1.0,3.2234209356829524e-05,0.1,0.0009865627062355723
38,0.0006063005421310663,1.0,0.0009359949035570025,1.0,2.2942759869692964e-07,0.0,1.9157053232192993,1.0,2.351011789869517e-05,0.1,0.0009858300505908796
